tiêu_đề (*Bắt buộc),giai_đoạn (*Bắt buộc: PRE_PREGNANCY / PREGNANCY / POSTPARTUM),nội_dung (*Bắt buộc),tóm_tắt (Không bắt buộc),danh_mục (Không bắt buộc - Tên danh mục),tên_nguồn (Không bắt buộc),link_nguồn (Không bắt buộc),nhà_xuất_bản (Không bắt buộc)
Có cách nào tăng cân lành mạnh không?,PRE_PREGNANCY,"<p>Nếu bác sĩ khuyên tăng cân, hãy bắt đầu bằng việc nạp nhiều calo hơn lượng cơ thể tiêu hao qua hoạt động và tập luyện mỗi ngày. Có thể ăn các món ăn nhẹ giàu calo nhưng lành mạnh như các loại hạt, thanh ngũ cốc, thức uống thay thế bữa ăn, sinh tố trái cây và sữa chua.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có nên bắt đầu dùng vitamin không?,PRE_PREGNANCY,"<p>Có. Nên dùng vitamin dành cho thai kỳ hằng ngày trước khi mang thai và tiếp tục sau khi có thai. Vitamin dành cho thai kỳ chứa các vitamin và khoáng chất cần thiết, trong đó có axit folic và sắt. Bắt đầu dùng trước khi mang thai cũng có thể giúp giảm buồn nôn và nôn.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên bổ sung bao nhiêu axit folic?,PRE_PREGNANCY,"<p>Ít nhất 1 tháng trước khi mang thai và trong 12 tuần đầu thai kỳ, nên dùng vitamin dành cho thai kỳ có ít nhất 400 microgam axit folic mỗi ngày. Một số phụ nữ, chẳng hạn từng sinh con bị dị tật ống thần kinh, cần 4 mg axit folic mỗi ngày dưới dạng bổ sung riêng, bắt đầu ít nhất 3 tháng trước khi mang thai và trong 3 tháng đầu. Hãy trao đổi với bác sĩ để xác định bạn có cần liều này hay không.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tại sao sắt quan trọng trong thai kỳ?,PRE_PREGNANCY,"<p>Cơ thể sử dụng sắt để tạo thêm lượng máu cần thiết cho mẹ và thai nhi trong thai kỳ. Phụ nữ không mang thai cần 18 mg sắt mỗi ngày, còn phụ nữ mang thai cần 27 mg mỗi ngày. Lượng tăng thêm này có trong hầu hết vitamin dành cho thai kỳ.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Làm thế nào để đảm bảo tôi nhận đủ sắt?,PRE_PREGNANCY,"<p>Ngoài việc dùng vitamin dành cho thai kỳ có sắt, hãy ăn thực phẩm giàu sắt như đậu, đậu lăng, ngũ cốc ăn sáng tăng cường sắt, thịt bò, thịt gà tây, gan và tôm. Nên ăn thêm thực phẩm giúp cơ thể hấp thu sắt như nước cam, bưởi, dâu tây, bông cải xanh và ớt.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tại sao cần ngừng sử dụng các chất gây hại trước khi mang thai?,PRE_PREGNANCY,"<p>Thuốc lá, rượu, cần sa, ma túy bất hợp pháp và thuốc kê đơn dùng không vì mục đích điều trị có thể gây vấn đề nghiêm trọng cho thai kỳ và thai nhi, gồm dị tật bẩm sinh, nhẹ cân khi sinh, sinh non và thai chết lưu. Nếu đang sử dụng, đây là thời điểm nên ngừng và tìm hỗ trợ nếu gặp vấn đề về sử dụng hoặc lệ thuộc chất.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể tìm hỗ trợ để cai/ngừng sử dụng bằng cách nào?,PRE_PREGNANCY,<p>Việc từ bỏ hành vi có hại cần sự hỗ trợ. Bạn có thể nhờ bác sĩ hoặc nhân viên y tế chăm sóc sản khoa hướng dẫn cách vượt qua giai đoạn đầu và giới thiệu các nhóm hỗ trợ.</p>,,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Bạn đời của tôi có nên ngừng sử dụng chất gây hại không?,PRE_PREGNANCY,"<p>Bạn đời và những người sống cùng bạn không nên hút thuốc gần bạn khi mang thai vì khói thuốc thụ động có thể đưa hóa chất độc hại đến thai nhi và liên quan đến tăng nguy cơ hội chứng đột tử ở trẻ sơ sinh. Nếu có bạn đời nam, người đó nên ngừng các chất gây hại trước khi hai người cố gắng có thai, vì hút thuốc, uống rượu và sử dụng ma túy có thể làm tổn thương tinh trùng và gây ảnh hưởng xấu đến thai nhi.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi cần biết gì về môi trường xung quanh?,PRE_PREGNANCY,"<p>Trước và trong thai kỳ, bạn có thể tiếp xúc với hóa chất tại nơi làm việc, ở nhà hoặc trong cộng đồng. Một số hóa chất như chì, thủy ngân và một số thuốc trừ sâu được biết có thể gây hại cho thai nhi. Một số chất trong nhà hoặc nơi làm việc cũng có thể làm bạn khó mang thai hơn.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể tiếp xúc với chất có hại tại nơi làm việc không?,PRE_PREGNANCY,"<p>Hãy hỏi người sử dụng lao động xem công việc có khiến bạn tiếp xúc với chất độc như chì, thủy ngân, thuốc trừ sâu, dung môi hoặc bức xạ hay không. Bức xạ là một dạng năng lượng phát ra dưới dạng sóng vô hình và được sử dụng trong một số công việc y tế và công nghiệp.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có được hỏi về bạo lực từ bạn đời không?,PRE_PREGNANCY,"<p>Bác sĩ hoặc nhân viên y tế chăm sóc sản khoa có thể hỏi về mối quan hệ của bạn trong buổi khám trước khi mang thai. Bạo lực từ bạn đời, còn gọi là bạo lực gia đình, có thể gây hại cho bạn và con bạn.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể nhận hỗ trợ như thế nào nếu đang trong mối quan hệ bạo hành?,PRE_PREGNANCY,<p>Bác sĩ hoặc nhân viên y tế chăm sóc sản khoa có thể giúp bạn tìm các nguồn hỗ trợ tại nơi bạn sống. ACOG cũng nêu đường dây National Domestic Violence Hotline hoạt động 24 giờ tại Hoa Kỳ.</p>,,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Bệnh mạn tính có thể gây vấn đề trong thai kỳ không?,PRE_PREGNANCY,"<p>Có. Một số bệnh như trầm cảm, đái tháo đường, rối loạn ăn uống, tăng huyết áp và rối loạn co giật có thể gây vấn đề trong thai kỳ. Một số bệnh làm tăng nguy cơ dị tật hoặc vấn đề sức khỏe cho thai nhi, trong khi bệnh khác làm tăng nguy cơ cho mẹ. Có bệnh nền không có nghĩa là bạn không thể có thai kỳ và em bé khỏe mạnh; chăm sóc tốt trước khi mang thai có thể giảm rủi ro.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu mắc bệnh mạn tính?,PRE_PREGNANCY,"<p>Bạn có thể cần thay đổi một số điều để kiểm soát bệnh trước khi cố gắng mang thai. Ngay cả khi bệnh được kiểm soát tốt, nhu cầu của thai kỳ vẫn có thể khiến bệnh nặng hơn. Bạn có thể cần thay đổi lối sống, khám bác sĩ thường xuyên hơn hoặc được chăm sóc chuyên khoa trong thai kỳ.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
"Tôi có thể dùng thuốc, thảo dược hoặc thực phẩm bổ sung không?",PRE_PREGNANCY,"<p>Một số thuốc, vitamin và thảo dược có thể gây hại cho thai nhi và không nên dùng khi mang thai. Hãy mang tất cả thuốc đang dùng đến buổi khám trước khi mang thai, tốt nhất là mang nguyên chai, hộp hoặc bao bì. Bác sĩ có thể đánh giá mức độ an toàn của chúng trong thai kỳ.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có nên ngừng thuốc kê đơn đang dùng không?,PRE_PREGNANCY,"<p>Không tự ý ngừng thuốc kê đơn trước khi trao đổi với bác sĩ hoặc nhân viên y tế chăm sóc sản khoa. Một số thuốc có thể làm tăng nguy cơ dị tật, nhưng lợi ích của việc tiếp tục điều trị trong thai kỳ có thể lớn hơn nguy cơ đối với thai nhi.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Ai có nguy cơ mắc STI?,PRE_PREGNANCY,<p>STI là các nhiễm trùng lây qua quan hệ tình dục. Nguy cơ mắc STI cao hơn nếu bạn quan hệ tình dục với nhiều bạn tình hoặc bạn tình của bạn quan hệ với người khác.</p>,,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên làm gì nếu nghi ngờ mình mắc STI?,PRE_PREGNANCY,"<p>Nếu bạn hoặc bạn tình có thể mắc STI, hãy xét nghiệm và điều trị ngay. Bạn tình cũng có thể cần điều trị. Cả hai không nên quan hệ tình dục cho đến khi hoàn tất điều trị.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi có nên xét nghiệm HIV không?,PRE_PREGNANCY,"<p>Có. Tất cả phụ nữ nên được xét nghiệm HIV. HIV chưa có cách chữa khỏi, nhưng biết tình trạng HIV giúp bạn đưa ra quyết định quan trọng về thai kỳ và tìm hiểu các phương án điều trị có thể làm giảm khả năng truyền HIV cho thai nhi.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi cần biết gì về tiêm chủng trước khi mang thai?,PRE_PREGNANCY,<p>Một số nhiễm trùng trong thai kỳ có thể gây dị tật hoặc biến chứng thai kỳ. Nhiều nhiễm trùng có thể phòng ngừa bằng vaccine. Tốt nhất nên hoàn thành các vaccine được khuyến nghị theo độ tuổi trước khi cố gắng mang thai vì một số vaccine không thể tiêm trong thai kỳ. Hai vaccine đặc biệt quan trọng là vaccine cúm và Tdap; cả hai đều an toàn trong thai kỳ.</p>,,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Tôi từng gặp vấn đề ở lần mang thai trước — liệu lần này có lặp lại không?,PRE_PREGNANCY,"<p>Một số vấn đề như sinh non, tăng huyết áp, tiền sản giật và tiểu đường thai kỳ có thể làm tăng nguy cơ lặp lại ở lần mang thai sau. Tuy nhiên, từng gặp vấn đề trước đây không có nghĩa chắc chắn sẽ tái diễn, đặc biệt nếu được chăm sóc đúng cách trước và trong thai kỳ. Bác sĩ sẽ hỏi về các biến chứng của những lần mang thai trước.</p>",,Chuẩn bị mang thai,ACOG,https://www.acog.org/womens-health/faqs/good-health-before-pregnancy-prepregnancy-care,American College of Obstetricians and Gynecologists (ACOG)
Chăm sóc trước sinh là gì?,PREGNANCY,"<p>Chăm sóc trước sinh là việc bạn được chăm sóc sức khỏe trong thời gian mang thai, bao gồm khám và theo dõi sức khỏe, cung cấp thông tin và tư vấn. Bắt đầu chăm sóc trước sinh càng sớm thì cơ hội có một thai kỳ và em bé khỏe mạnh càng cao.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Khi nào tôi nên bắt đầu chăm sóc trước sinh?,PREGNANCY,"<p>Ngay khi nghĩ rằng mình có thể mang thai, bạn nên liên hệ với nhân viên y tế để đặt lịch khám. Nếu cần hỗ trợ để tiếp cận dịch vụ chăm sóc trước sinh, bạn có thể trao đổi với bác sĩ, điều dưỡng hoặc nhân viên tư vấn.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Lần khám thai đầu tiên có thể diễn ra như thế nào?,PREGNANCY,"<p>Trong lần khám đầu tiên, bạn sẽ trao đổi với nhân viên y tế và nên trả lời các câu hỏi trung thực, đầy đủ. Bạn có thể được hỏi ngày đầu tiên của kỳ kinh cuối để tính số tuần thai và ước tính ngày dự sinh. Bạn cũng có thể được khám sức khỏe tổng quát, có thể gồm khám vùng chậu, xét nghiệm nước tiểu, máu và một số bệnh lây truyền qua đường tình dục.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Những lần khám thai tiếp theo sẽ diễn ra như thế nào?,PREGNANCY,"<p>Khi thai kỳ tiến triển, bạn sẽ cần đến cơ sở y tế thường xuyên hơn. Nhân viên y tế sẽ theo dõi sức khỏe của bạn và thai nhi. Bạn có thể đặt câu hỏi về bất kỳ điều gì khiến mình lo lắng. Không phải lần khám nào cũng cần khám vùng chậu, trừ khi có biến chứng hoặc lý do y tế cần kiểm tra.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Lớp học tiền sản là gì?,PREGNANCY,"<p>Lớp học tiền sản giúp bạn tìm hiểu về thai kỳ, sinh con, cho con bú và việc trở thành cha mẹ. Một số lớp còn hướng dẫn cách cho bé ăn, thay tã, tắm cho bé và giữ bé khỏe mạnh, an toàn.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể làm gì để có một thai kỳ khỏe mạnh?,PREGNANCY,"<p>Hãy ăn uống lành mạnh, tập thể dục thường xuyên và nghỉ ngơi đầy đủ. Nên tránh rượu, thuốc lá, cần sa và ma túy bất hợp pháp. Hãy trao đổi với nhân viên y tế về tất cả thuốc đang dùng, bao gồm thuốc kê đơn, vitamin và thuốc giảm đau không kê đơn.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tại sao ăn uống lành mạnh lại quan trọng khi mang thai?,PREGNANCY,"<p>Ăn uống lành mạnh giúp duy trì sức khỏe của mẹ và hỗ trợ thai nhi phát triển. ACOG giới thiệu MyPlate để lập kế hoạch ăn uống cân bằng; khoảng một nửa đĩa ăn nên là rau củ và trái cây, phần còn lại gồm ngũ cốc và thực phẩm giàu protein, cùng lượng phù hợp thực phẩm từ nhóm sữa.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Có những thực phẩm nào tôi không nên ăn?,PREGNANCY,"<p>Trong thai kỳ nên tránh hoặc hạn chế một số thực phẩm. Tránh cá có hàm lượng thủy ngân cao như cá ngừ mắt to, cá thu vua, cá cờ, cá cam nhám, cá mập, cá kiếm và cá ngói. Cá ngừ trắng/albacore nên giới hạn khoảng 6 ounce mỗi tuần. Nên giới hạn caffeine dưới 200 mg mỗi ngày. Tránh cá sống, sữa và phô mai chưa tiệt trùng. Hot dog và thịt nguội nên được làm nóng đến khi nóng bốc hơi trước khi ăn. Cá đã nấu chín an toàn vẫn là nguồn dưỡng chất có lợi cho thai kỳ.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tôi nên tăng bao nhiêu cân khi mang thai?,PREGNANCY,<p>Mức tăng cân phụ thuộc vào cân nặng trước khi mang thai. Theo thông tin ACOG nêu: người thiếu cân có thể cần tăng khoảng 28–40 lb; người có cân nặng bình thường 25–35 lb; người thừa cân 15–25 lb; người béo phì 11–20 lb. Bác sĩ sẽ theo dõi cân nặng trong các lần khám và có thể điều chỉnh mục tiêu theo tình trạng cụ thể.</p>,,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Những vitamin nào cần thiết khi mang thai?,PREGNANCY,"<p>Axit folic, thuộc nhóm vitamin B, đặc biệt quan trọng. Bổ sung đủ axit folic trước và trong thai kỳ có thể giúp giảm nguy cơ dị tật nghiêm trọng ở não và cột sống của thai nhi. ACOG nêu mức 600 microgam axit folic mỗi ngày trong thai kỳ. Sắt cũng quan trọng vì cơ thể cần thêm sắt để tạo máu vận chuyển oxy cho thai nhi.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Làm thế nào để bổ sung đủ vitamin cần thiết trong thai kỳ?,PREGNANCY,"<p>Một cách là sử dụng vitamin dành cho thai kỳ (prenatal vitamins). Trong lần khám thai đầu tiên, hãy cho nhân viên y tế biết tất cả vitamin và thực phẩm bổ sung đang sử dụng. Không nên tự bổ sung quá nhiều vì một số vitamin nếu dùng quá mức có thể gây hại.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tại sao tập thể dục lại quan trọng khi mang thai?,PREGNANCY,"<p>Tập thể dục có thể giúp tăng năng lượng, giảm một số khó chịu trong thai kỳ và giúp cơ thể khỏe hơn để chuẩn bị cho chuyển dạ và sinh con. Nếu trước đây không tập thể dục, hãy bắt đầu với vài phút mỗi ngày rồi tăng dần. Đi bộ, yoga và bơi là một số hình thức vận động tương đối an toàn, nhưng nên hỏi nhân viên y tế trước khi bắt đầu chương trình tập luyện.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Cảm thấy mệt khi mang thai có bình thường không?,PREGNANCY,"<p>Có. Mệt mỏi thường gặp trong giai đoạn đầu và cuối thai kỳ. Hãy nghỉ ngơi đầy đủ. ACOG khuyến nghị cơ thể cần khoảng 8–10 giờ ngủ mỗi đêm trong thai kỳ. Khi mệt vào ban ngày, hãy nghỉ ngơi. Tập thể dục và ăn uống lành mạnh cũng có thể giúp cải thiện năng lượng.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Tôi có thể dùng thuốc khi mang thai không?,PREGNANCY,"<p>Một số phụ nữ cần dùng thuốc trong thai kỳ để bảo vệ sức khỏe của mẹ hoặc thai nhi. Hãy thông báo cho nhân viên y tế về tất cả thuốc kê đơn đang dùng. Trước khi dùng thuốc không kê đơn, thảo dược, vitamin hoặc khoáng chất, cũng nên hỏi nhân viên y tế. Không tự ý ngừng thuốc kê đơn trước khi trao đổi với nhân viên y tế.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
"Rượu, thuốc lá, cần sa hoặc ma túy có thể gây hại cho thai kỳ không?",PREGNANCY,"<p>Có. Uống rượu, hút hoặc vape thuốc lá/cần sa và sử dụng các loại ma túy khác có thể gây hại cho mẹ và thai kỳ. Vape không được xem là an toàn hơn hút thuốc. ACOG không khuyến nghị sử dụng cần sa dưới bất kỳ hình thức nào trong thai kỳ. Nếu muốn ngừng nhưng gặp khó khăn, hãy nói với nhân viên y tế để được hỗ trợ.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
Mang thai ở tuổi vị thành niên có những nguy cơ đặc biệt nào?,PREGNANCY,"<p>Phụ nữ mang thai ở tuổi vị thành niên có nguy cơ cao hơn đối với một số vấn đề như tăng huyết áp, thiếu máu và sinh non. Nguy cơ có thể cao hơn ở người dưới 15 tuổi hoặc người không được chăm sóc trước sinh. Thanh thiếu niên cũng có nguy cơ mắc STI cao hơn và nên đi xét nghiệm nếu nghi ngờ mắc STI.</p>",,Chăm sóc thai kỳ,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
"Sau khi em bé chào đời, tôi có thể cần hỗ trợ những gì?",POSTPARTUM,"<p>Em bé cần được chăm sóc liên tục và bạn có thể ít thời gian cho những việc trước đây, đồng thời cảm thấy mệt mỏi hoặc cô đơn. Chuẩn bị trước và có người hỗ trợ sẽ giúp thích nghi dễ hơn. Nên chuẩn bị về chi phí cho nhà ở, thức ăn, quần áo, tã, chăm sóc y tế, ghế ô tô, xe đẩy và dịch vụ chăm trẻ.</p>",,Chăm sóc sau sinh,ACOG,https://www.acog.org/womens-health/faqs/having-a-baby,American College of Obstetricians and Gynecologists (ACOG)
